Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → BHO → DEL,06:45,09:25 13 Mar,26h 40m,2 stops,No info,12515
SpiceJet,9/06/2019,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8h 40m,1 stop,No info,6853
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,12:00 07 May,21h 55m,1 stop,In-flight meal not included,9663
Air Asia,3/05/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,5989
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 10 May,25h 30m,1 stop,In-flight meal not included,12373
Jet Airways,1/04/2019,Delhi,Cochin,DEL → BOM → COK,18:15,12:35 02 Apr,18h 20m,1 stop,In-flight meal not included,5406
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 10 May,25h 45m,1 stop,No info,13941
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,09:30 02 Mar,21h 50m,1 stop,No info,25735
Air India,24/06/2019,Delhi,Cochin,DEL → BOM → COK,19:00,07:40 25 Jun,12h 40m,1 stop,No info,8372
GoAir,12/05/2019,Kolkata,Banglore,CCU → AMD → BLR,16:40,00:15 13 May,7h 35m,1 stop,No info,8855
Air India,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,8372
Air India,27/05/2019,Delhi,Cochin,DEL → CCU → BOM → COK,14:25,19:15 28 May,28h 50m,2 stops,No info,13381
SpiceJet,15/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
Jet Airways,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 10 May,13h 30m,2 stops,No info,15129
